split,row_type,confidence_method,observation_mode,occlusion_level,view_set,candidate_count,distractor_type,num_samples,top_1_accuracy,top_3_accuracy,confidence_mean,coverage,selective_accuracy,abstained
test,condition,margin,oracle_crop,heavy,single_view,3,native,2,0.5,1.0,0.8671683892920972,1.0,0.5,0
test,condition,margin,oracle_crop,heavy,single_view,5,different,2,0.5,1.0,0.3611456042379671,1.0,0.5,0
test,condition,margin,oracle_crop,heavy,single_view,5,similar,2,0.5,1.0,0.3611456042379671,1.0,0.5,0
test,condition,margin,oracle_crop,heavy,single_view,8,different,2,0.0,0.0,0.0,0.0,,2
test,condition,margin,oracle_crop,heavy,single_view,8,similar_fallback,2,0.0,0.0,0.0,0.0,,2
test,condition,margin,oracle_crop,heavy,three_view_augmented,3,native,2,0.5,1.0,0.5851652112916829,1.0,0.5,0
test,condition,margin,oracle_crop,heavy,three_view_augmented,5,different,2,0.5,0.5,0.14213518214490467,1.0,0.5,0
test,condition,margin,oracle_crop,heavy,three_view_augmented,5,similar,2,0.5,0.5,0.2316731515713219,1.0,0.5,0
test,condition,margin,oracle_crop,heavy,three_view_augmented,8,different,2,0.0,0.5,0.1770874951949216,1.0,0.0,0
test,condition,margin,oracle_crop,heavy,three_view_augmented,8,similar_fallback,2,0.0,0.5,0.1770874951949216,1.0,0.0,0
test,condition,margin,oracle_crop,heavy,two_view,3,native,2,0.5,1.0,0.24989622675009132,1.0,0.5,0
test,condition,margin,oracle_crop,heavy,two_view,5,different,2,0.0,0.0,0.5576535968463,1.0,0.0,0
test,condition,margin,oracle_crop,heavy,two_view,5,similar,2,0.0,0.0,0.07525347145679687,1.0,0.0,0
test,condition,margin,oracle_crop,heavy,two_view,8,different,2,0.0,0.5,0.16101008469469258,1.0,0.0,0
test,condition,margin,oracle_crop,heavy,two_view,8,similar_fallback,2,0.0,0.5,0.16101008469469258,1.0,0.0,0
test,condition,margin,oracle_crop,light,single_view,3,native,2,1.0,1.0,0.37637252449946546,1.0,1.0,0
test,condition,margin,oracle_crop,light,single_view,5,different,2,1.0,1.0,0.1281074505598368,1.0,1.0,0
test,condition,margin,oracle_crop,light,single_view,5,similar,2,0.5,1.0,0.047231708943476544,0.5,1.0,1
test,condition,margin,oracle_crop,light,single_view,8,different,2,0.5,1.0,0.1532222252949669,0.5,1.0,1
test,condition,margin,oracle_crop,light,single_view,8,similar_fallback,2,0.5,1.0,0.1532222252949669,0.5,1.0,1
test,condition,margin,oracle_crop,light,three_view_augmented,3,native,2,1.0,1.0,0.026920532644964298,0.0,,2
test,condition,margin,oracle_crop,light,three_view_augmented,5,different,2,1.0,1.0,0.09451258639183578,0.5,1.0,1
test,condition,margin,oracle_crop,light,three_view_augmented,5,similar,2,1.0,1.0,0.11938146709540189,0.5,1.0,1
test,condition,margin,oracle_crop,light,three_view_augmented,8,different,2,1.0,1.0,0.10266994408720748,1.0,1.0,0
test,condition,margin,oracle_crop,light,three_view_augmented,8,similar_fallback,2,1.0,1.0,0.10266994408720748,1.0,1.0,0
test,condition,margin,oracle_crop,light,two_view,3,native,2,0.5,1.0,0.04932680909820856,0.5,1.0,1
test,condition,margin,oracle_crop,light,two_view,5,different,2,0.5,1.0,0.1733780069099132,1.0,0.5,0
test,condition,margin,oracle_crop,light,two_view,5,similar,2,1.0,1.0,0.042296804388248,0.0,,2
test,condition,margin,oracle_crop,light,two_view,8,different,2,1.0,1.0,0.04751080009529082,0.5,1.0,1
test,condition,margin,oracle_crop,light,two_view,8,similar_fallback,2,1.0,1.0,0.04751080009529082,0.5,1.0,1
test,condition,margin,oracle_crop,moderate,single_view,3,native,2,1.0,1.0,0.13884862139146278,1.0,1.0,0
test,condition,margin,oracle_crop,moderate,single_view,5,different,2,0.0,1.0,0.015901782583403745,0.0,,2
test,condition,margin,oracle_crop,moderate,single_view,5,similar,2,0.5,1.0,0.05945147565607899,0.5,1.0,1
test,condition,margin,oracle_crop,moderate,single_view,8,different,2,0.0,0.0,0.11935013145650686,1.0,0.0,0
test,condition,margin,oracle_crop,moderate,single_view,8,similar_fallback,2,0.0,0.0,0.11935013145650686,1.0,0.0,0
test,condition,margin,oracle_crop,moderate,three_view_augmented,3,native,2,1.0,1.0,0.06042540186024784,0.5,1.0,1
test,condition,margin,oracle_crop,moderate,three_view_augmented,5,different,2,0.5,1.0,0.1811478436181257,1.0,0.5,0
test,condition,margin,oracle_crop,moderate,three_view_augmented,5,similar,2,0.5,0.5,0.19720762189084806,1.0,0.5,0
test,condition,margin,oracle_crop,moderate,three_view_augmented,8,different,2,0.0,0.0,0.21875946556116235,0.5,0.0,1
test,condition,margin,oracle_crop,moderate,three_view_augmented,8,similar_fallback,2,0.0,0.0,0.21875946556116235,0.5,0.0,1
test,condition,margin,oracle_crop,moderate,two_view,3,native,2,0.5,1.0,0.1091059254511568,1.0,0.5,0
